OPERATOR_CD,AIRCRAFT_CD,FLEET_CD,CHAPTER_CD,PART_GROUP_CD,PART_NUMBER,SERIAL_NUMBER,INSTALL_DT,REMOVAL_DT,REMOVED_BOOL,AIRCRAFT_AGE,REPETITIVE_FAULT_QT,MEL_QTY,DELAY_QTY,TIME_SINCE_INSTALL_CYCLES,TIME_SINCE_NEW_CYCLES
VST,479,737,35,5L7Y8H1R,CCTRF63Q3X,SX8EZ8X,9/6/2016 12:59:56 PM,10/29/2017,1,19,3,196,63,1208,1208
VST,479,737,35,5L7Y8H1R,CCTRF63Q3X,SRJPYAL,9/6/2016 12:59:53 PM,10/29/2017,1,19,3,196,63,1208,1208
VST,479,737,35,5L7Y8H1R,CCTRF63Q3X,SI97UHM,9/6/2016 12:59:58 PM,10/29/2017,1,19,3,196,63,1208,1208
VST,479,737,35,5L7Y8H1R,CCTRF63Q3X,SV519Y4,9/6/2016 12:59:52 PM,10/29/2017,1,19,3,196,63,1208,1208
VST,479,737,35,5L7Y8H1R,CCTRF63Q3X,S29OYZZ,9/6/2016 12:59:52 PM,10/29/2017,1,19,3,196,63,1208,1208
VST,479,737,35,S2H5R1K6,L4DPH8ESS3,SRLBJ6G,5/12/2019 03:20:00 PM,5/12/2019,1,22,0,,,0,0
JUE,784,737,32,FHBEJT36,K49TK70AOI,SBTYCFP,8/2/2017 03:00:00 AM,10/26/2017,1,26,0,79,,58,261
JUE,784,737,32,FHBEJT36,K49TK70AOI,S1GITGN,6/14/2017 04:33:00 AM,12/1/2017,1,26,0,120,6,199,199
JUE,784,737,32,FHBEJT36,K49TK70AOI,S2AFO8B,2/24/2019 01:00:00 AM,6/5/2019,1,27,0,50,6,222,222
JUE,784,737,32,A9QRM62R,2ALV0B97OV,SISK8DB,10/22/2017 08:00:00 PM,10/22/2017,1,26,0,,,0,0
JUE,784,737,32,A9QRM62R,2ALV0B97OV,SISNOA9,8/6/2014 08:24:14 AM,10/29/2017,1,23,4,690,43,2290,2290
JUE,784,737,33,NM8LXRH6,VNS4IPYLRU,SB6LYZZ,12/4/2017 03:00:00 AM,12/4/2017,1,26,0,,,0,0
JUE,784,737,33,IO2BI6D7,4RQGCH7WVB,SZ1L52A,1/26/2016 02:46:28 PM,1/26/2016,1,24,0,,,0,0
JUE,784,737,33,IO2BI6D7,4RQGCH7WVB,SOC575O,10/26/2017 08:00:00 PM,10/26/2017,1,26,0,,,0,0
JUE,784,737,33,IO2BI6D7,4RQGCH7WVB,SLGSR9O,11/5/2017 12:00:00 PM,11/5/2017,1,26,0,,,0,0
JUE,784,737,33,PD56NVEU,QAHSJ7ABJ0,S02ZVY0,5/3/2015 10:55:56 AM,4/24/2015,1,23,0,,,-19,0
JUE,784,737,34,0B34RUZA,HPL08I8RZM,SFHU8FR,5/16/2016 08:36:05 AM,5/24/2016,1,24,0,4,,20,20
